          TOKEN                         YYTEXT
              1                       #include
            150                          stdio


             14                            int
            150                      globalVar
            133                              =
            151                              1


             14                            int
            150                           main
            103                              (
            104                              )
            105                              {

             11                           char
            150                         option
            133                              =
            153                            'A'

             11                           char
            101                              [
            151                              7
            102                              ]
            133                              =
            152                      "Vishesh"

             14                            int
            133                              =
            151                            123

             16                          float
            133                              =
            151                          12.07

             14                            int
            133                              =
            151                             12

             14                            int
            133                              =
            111                             ++

             14                            int
            150                            _12
            133                              =

             41                             if
            103                              (
            150                         option
            134                             ==
            153                            'A'
            104                              )
            105                              {

            150                         printf
            103                              (
            117                              %
            150                         Option
            104                              )

            106                              }
             42                           else
            105                              {

            150                         printf
            103                              (
            117                              %
            150                        Invalid
            150                         Option
            104                              )

            106                              }


             72                         return
            151                              0

            106                              }

