PREPCSR_INCLUDE_TKN             701
HEADER_FILE                     stdio.h
INT_TKN                         102
VARIABLE_TKN                    main
LEFT_PARENTHESIS_TKN            91
RIGHT_PARENTHESIS_TKN           92
LEFT_BRACES_TKN                 93
INT_TKN                         102
VARIABLE_TKN                    x
OPERATOR_EQL_TKN                77
INTEGER_CONSTANT                4
CHAR_TKN                        112
VARIABLE_TKN                    y
LEFT_BRACKETS_TKN               95
INTEGER_CONSTANT                10
RIGHT_BRACKETS_TKN              96
OPERATOR_EQL_TKN                77
STRING_LITERAL                  "vishesh"
IF_TKN                          129
LEFT_PARENTHESIS_TKN            91
VARIABLE_TKN                    x
OPERATOR_EQL_TKN                77
OPERATOR_EQL_TKN                77
INTEGER_CONSTANT                5
RIGHT_PARENTHESIS_TKN           92
LEFT_BRACES_TKN                 93
VARIABLE_TKN                    printf
LEFT_PARENTHESIS_TKN            91
STRING_LITERAL                  "FIVE"
RIGHT_PARENTHESIS_TKN           92
RIGHT_BRACES_TKN                94
ELSE_TKN                        105
LEFT_BRACES_TKN                 93
VARIABLE_TKN                    printf
LEFT_PARENTHESIS_TKN            91
STRING_LITERAL                  "FOUR"
RIGHT_PARENTHESIS_TKN           92
RIGHT_BRACES_TKN                94
RETURN_TKN                      114
INTEGER_CONSTANT                0
RIGHT_BRACES_TKN                94
