      LINE        POS                                    TOKEN         ID
         1          1                                  include          0
         1         21                             Syntax Error         -1
         1         21                                   Single          0
         1         28                                     Line          0
         1         33                                 Comments          0
         3          0                                      int        202
         3          4                                     main          0
         3          8                     LEFT_PARENTHESIS_TKN         91
         3          8                    RIGHT_PARENTHESIS_TKN         92
         3          9                          LEFT_BRACES_TKN         93
         4          4                                      int        202
         4          8                                        x          0
         4         10                       OPERATOR_ASSIGNEMT        256
         4         12                                        4         50
         5          4                                     char        212
         5          9                                        y          0
         5         10                        LEFT_BRACKETS_TKN         95
         5         10                                       10         50
         5         12                       RIGHT_BRACKETS_TKN         96
         5         13                       OPERATOR_ASSIGNEMT        256
         5         15                                "vishesh"         34
         7          4                                    float        217
         7         10                                     xy12          0
         7         15                       OPERATOR_ASSIGNEMT        256
         7         17                                    12.05         50
         8          4                                       if        229
         8          6                     LEFT_PARENTHESIS_TKN         91
         8          6                                        x          0
         8          8                                        x        256
         8         10                                        5         50
         8         11                    RIGHT_PARENTHESIS_TKN         92
         8         12                          LEFT_BRACES_TKN         93
         9          8                                   printf          0
         9         14                     LEFT_PARENTHESIS_TKN         91
         9         14                                   "FIVE"         34
        10          4                         RIGHT_BRACES_TKN         94
        10          5                                     else        205
        10         10                          LEFT_BRACES_TKN         93
        11          8                                   printf          0
        11         14                     LEFT_PARENTHESIS_TKN         91
        11         14                                   "FOUR"         34
        12          4                         RIGHT_BRACES_TKN         94
        14          4                                      int        202
        14          8                                        z          0
        14         10                       OPERATOR_ASSIGNEMT        256
        14         12                                        x          0
        14         14                       OPERATOR_INCREMENT        256
        14         15                            OPERATOR_PLUS        256
        14         16                                        2         50
        16          4                                   printf          0
        16         10                     LEFT_PARENTHESIS_TKN         91
        16         10                                 "\n%d\n"         34
        16         19                                        z          0
        16         20                    RIGHT_PARENTHESIS_TKN         92
        18          4                                     char        212
        18          9                                        a          0
        18         11                       OPERATOR_ASSIGNEMT        256
        18         13                                      'A'         39
        20          4                                   return        214
        20         11                                        0         50
        21          0                         RIGHT_BRACES_TKN         94
        23          0                        Multiline Comment       1001
